,user_id,session_id,topic,sub_topic,learning_node,question_type_single,question_type_multichoice,question_difficulty_medium,question_difficulty_easy,question_difficulty_hard,question_difficulty_hots,ms_first_response_min,ms_first_response_mean,ms_first_response_max,is_correct_1,is_correct_0
0,2348875,2,1,1,1,3,0,3,0,0,0,11.0,13.666666666666666,18.0,1,2
1,2766044,11,2,9,28,37,0,37,0,0,0,4.0,23.27027027027027,110.0,20,17
2,3604867,4,3,3,7,14,0,12,2,0,0,8.0,49.857142857142854,155.0,1,13
3,4061807,10,5,7,33,108,0,108,0,0,0,2.0,13.75925925925926,104.0,59,49
4,5713467,3,2,4,7,20,0,18,0,2,0,8.0,26.45,91.0,12,8
5,6725037,8,8,22,31,65,0,65,0,0,0,2.0,31.123076923076923,211.0,36,29
6,8411515,1,1,1,1,3,0,3,0,0,0,20.0,26.333333333333332,34.0,1,2
7,10105875,16,12,5,76,165,0,165,0,0,0,2.0,21.76969696969697,122.0,128,37
8,10434119,1,1,1,2,4,1,5,0,0,0,21.0,37.8,59.0,3,2
9,11855819,1,1,1,2,5,0,5,0,0,0,8.0,29.2,82.0,5,0
10,13836158,4,2,5,7,16,2,18,0,0,0,9.0,36.666666666666664,89.0,10,8
11,14706019,1,1,1,2,3,0,3,0,0,0,12.0,12.0,12.0,3,0
12,17368199,1,1,2,5,9,0,9,0,0,0,11.0,37.44444444444444,102.0,8,1
13,24245691,1,1,2,13,13,0,13,0,0,0,3.0,8.384615384615385,16.0,11,2
14,26507933,6,4,8,24,39,0,39,0,0,0,6.0,25.743589743589745,59.0,21,18
15,26781011,9,5,8,42,89,0,85,4,0,0,3.0,53.640449438202246,831.0,84,5
16,31096286,20,9,21,136,261,0,261,0,0,0,2.0,6.689655172413793,90.0,130,131
17,31637172,9,5,7,24,68,0,65,3,0,0,3.0,12.014705882352942,44.0,25,43
18,31784845,7,2,2,17,64,0,64,0,0,0,3.0,22.3125,147.0,52,12
19,32907819,1,1,1,1,1,0,1,0,0,0,18.0,18.0,18.0,1,0
20,33261029,4,2,7,21,51,0,51,0,0,0,3.0,18.019607843137255,79.0,29,22
21,33329834,6,4,2,6,19,0,19,0,0,0,5.0,15.842105263157896,38.0,12,7
