threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.001,0.5006326881682669,55352.0,30627.0,56.0,31.0,0.6438,0.6438,0.9994,0.9982
0.002,0.5006725471330051,55351.0,30624.0,59.0,32.0,0.6438,0.6438,0.9994,0.9981
0.003,0.5006437025961382,55346.0,30623.0,60.0,37.0,0.6438,0.6438,0.9993,0.998
0.004,0.5006564774375895,55342.0,30620.0,63.0,41.0,0.6438,0.6438,0.9993,0.9979
0.005,0.5006421681557538,55335.0,30617.0,66.0,48.0,0.6437,0.6438,0.9991,0.9978
0.006,0.5006586897975607,55326.0,30611.0,72.0,57.0,0.6437,0.6438,0.999,0.9977
0.007,0.500695027935139,55321.0,30606.0,77.0,62.0,0.6437,0.6438,0.9989,0.9975
0.008,0.5006679438118521,55318.0,30606.0,77.0,65.0,0.6436,0.6438,0.9988,0.9975
0.009,0.5006283108203095,55310.0,30604.0,79.0,73.0,0.6436,0.6438,0.9987,0.9974
0.01,0.5006175223656338,55307.0,30603.0,80.0,76.0,0.6435,0.6438,0.9986,0.9974
0.011,0.5009042546927082,55281.0,30571.0,112.0,102.0,0.6436,0.6439,0.9982,0.9963
0.012,0.5009676769535732,55279.0,30566.0,117.0,104.0,0.6436,0.6439,0.9981,0.9962
0.013,0.5010057755047314,55276.0,30562.0,121.0,107.0,0.6437,0.644,0.9981,0.9961
0.014,0.5010584093109209,55271.0,30556.0,127.0,112.0,0.6437,0.644,0.998,0.9959
0.015,0.5011145639442705,55270.0,30552.0,131.0,113.0,0.6437,0.644,0.998,0.9957
0.016,0.5011890006330069,55262.0,30543.0,140.0,121.0,0.6437,0.644,0.9978,0.9954
0.017,0.5011729309375912,55253.0,30539.0,144.0,130.0,0.6437,0.644,0.9977,0.9953
0.018,0.5011984806204938,55245.0,30533.0,150.0,138.0,0.6436,0.644,0.9975,0.9951
0.019,0.5012420863855875,55239.0,30527.0,156.0,144.0,0.6436,0.6441,0.9974,0.9949
0.02,0.5012856921506814,55233.0,30521.0,162.0,150.0,0.6436,0.6441,0.9973,0.9947
0.021,0.5015596496363045,55211.0,30492.0,191.0,172.0,0.6437,0.6442,0.9969,0.9938
0.022,0.5016195510700096,55205.0,30485.0,198.0,178.0,0.6437,0.6442,0.9968,0.9935
0.023,0.501699268999486,55203.0,30479.0,204.0,180.0,0.6438,0.6443,0.9967,0.9934
0.024,0.5018170854801207,55198.0,30469.0,214.0,185.0,0.6438,0.6443,0.9967,0.993
0.025,0.501808057439025,55197.0,30469.0,214.0,186.0,0.6438,0.6443,0.9966,0.993
0.026,0.501893282582437,55192.0,30461.0,222.0,191.0,0.6439,0.6444,0.9966,0.9928
0.027,0.501929846693211,55178.0,30451.0,232.0,205.0,0.6438,0.6444,0.9963,0.9924
0.028,0.5019190582385352,55175.0,30450.0,233.0,208.0,0.6438,0.6444,0.9962,0.9924
0.029,0.5018759044198325,55163.0,30446.0,237.0,220.0,0.6437,0.6444,0.996,0.9923
0.03,0.5019230310120865,55161.0,30442.0,241.0,222.0,0.6437,0.6444,0.996,0.9921
0.031,0.502043285825888,55131.0,30418.0,265.0,252.0,0.6436,0.6444,0.9954,0.9914
0.032,0.5020758771631106,55131.0,30416.0,267.0,252.0,0.6437,0.6445,0.9954,0.9913
0.033,0.5021157361278488,55130.0,30413.0,270.0,253.0,0.6437,0.6445,0.9954,0.9912
0.034,0.5021683699340382,55125.0,30407.0,276.0,258.0,0.6437,0.6445,0.9953,0.991
0.035,0.5021919332301651,55124.0,30405.0,278.0,259.0,0.6437,0.6445,0.9953,0.9909
0.036,0.5022119756991321,55119.0,30401.0,282.0,264.0,0.6437,0.6445,0.9952,0.9908
0.037,0.502297200842544,55114.0,30393.0,290.0,269.0,0.6437,0.6446,0.9951,0.9905
0.038,0.502320764138671,55113.0,30391.0,292.0,270.0,0.6438,0.6446,0.9951,0.9905
0.039,0.5023280317661868,55112.0,30390.0,293.0,271.0,0.6438,0.6446,0.9951,0.9905
0.04,0.5022703426924529,55102.0,30388.0,295.0,281.0,0.6437,0.6445,0.9949,0.9904
0.041,0.5025495814188159,55086.0,30362.0,321.0,297.0,0.6438,0.6447,0.9946,0.9895
0.042,0.5025713843013628,55083.0,30359.0,324.0,300.0,0.6438,0.6447,0.9946,0.9894
0.043,0.5026656374858705,55079.0,30351.0,332.0,304.0,0.6438,0.6447,0.9945,0.9892
0.044,0.5027363273742513,55076.0,30345.0,338.0,307.0,0.6439,0.6448,0.9945,0.989
