threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.001,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.002,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.003,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.004,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.005,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.006,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.007,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.008,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.009,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.01,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.011,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.012,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.013,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.014,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.015,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.016,0.5,55383.0,30683.0,0.0,0.0,0.6435,0.6435,1.0,1.0
0.017,0.5000325913372226,55383.0,30681.0,2.0,0.0,0.6435,0.6435,1.0,0.9999
0.018,0.5000651826744451,55383.0,30679.0,4.0,0.0,0.6435,0.6435,1.0,0.9999
0.019,0.5000814783430565,55383.0,30678.0,5.0,0.0,0.6436,0.6435,1.0,0.9998
0.02,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.021,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.022,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.023,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.024,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.025,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.026,0.500114069680279,55383.0,30676.0,7.0,0.0,0.6436,0.6435,1.0,0.9998
0.027,0.5001303653488902,55383.0,30675.0,8.0,0.0,0.6436,0.6436,1.0,0.9997
0.028,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.029,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.03,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.031,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.032,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.033,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.034,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.035,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.036,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.037,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.038,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.039,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.04,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.041,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.042,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.043,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.044,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.045,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.046,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.047,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.048,0.5001466610175016,55383.0,30674.0,9.0,0.0,0.6436,0.6436,1.0,0.9997
0.049,0.5001629566861128,55383.0,30673.0,10.0,0.0,0.6436,0.6436,1.0,0.9997
0.05,0.5001629566861128,55383.0,30673.0,10.0,0.0,0.6436,0.6436,1.0,0.9997
0.051,0.5001629566861128,55383.0,30673.0,10.0,0.0,0.6436,0.6436,1.0,0.9997
0.052,0.5001539286450172,55382.0,30673.0,10.0,1.0,0.6436,0.6436,1.0,0.9997
0.053,0.5001539286450172,55382.0,30673.0,10.0,1.0,0.6436,0.6436,1.0,0.9997
0.054,0.5001702243136285,55382.0,30672.0,11.0,1.0,0.6436,0.6436,1.0,0.9996
0.055,0.5001702243136285,55382.0,30672.0,11.0,1.0,0.6436,0.6436,1.0,0.9996
0.056,0.5001702243136285,55382.0,30672.0,11.0,1.0,0.6436,0.6436,1.0,0.9996
0.057,0.5001702243136285,55382.0,30672.0,11.0,1.0,0.6436,0.6436,1.0,0.9996
0.058,0.5001702243136285,55382.0,30672.0,11.0,1.0,0.6436,0.6436,1.0,0.9996
0.059,0.5001702243136285,55382.0,30672.0,11.0,1.0,0.6436,0.6436,1.0,0.9996
0.06,0.5001865199822397,55382.0,30671.0,12.0,1.0,0.6436,0.6436,1.0,0.9996
0.061,0.5001865199822397,55382.0,30671.0,12.0,1.0,0.6436,0.6436,1.0,0.9996
0.062,0.5001774919411441,55381.0,30671.0,12.0,2.0,0.6436,0.6436,1.0,0.9996
0.063,0.5001774919411441,55381.0,30671.0,12.0,2.0,0.6436,0.6436,1.0,0.9996
0.064,0.5001937876097554,55381.0,30670.0,13.0,2.0,0.6436,0.6436,1.0,0.9996
0.065,0.5001937876097554,55381.0,30670.0,13.0,2.0,0.6436,0.6436,1.0,0.9996
0.066,0.5002100832783667,55381.0,30669.0,14.0,2.0,0.6436,0.6436,1.0,0.9995
0.067,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.068,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.069,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.07,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.071,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.072,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.073,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.074,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.075,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.076,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.077,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.078,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.079,0.5002173509058824,55380.0,30668.0,15.0,3.0,0.6436,0.6436,0.9999,0.9995
0.08,0.5002083228647867,55379.0,30668.0,15.0,4.0,0.6436,0.6436,0.9999,0.9995
0.081,0.5002083228647867,55379.0,30668.0,15.0,4.0,0.6436,0.6436,0.9999,0.9995
0.082,0.500224618533398,55379.0,30667.0,16.0,4.0,0.6436,0.6436,0.9999,0.9995
0.083,0.500224618533398,55379.0,30667.0,16.0,4.0,0.6436,0.6436,0.9999,0.9995
